Location;CrimeRate;CrimesAgainstPhysicalIntegrity;TheftOrRobbery;Carjacking;DrunkDriving;DrivingWithoutLicense;CrimesAgainstNationalHeritage
11E0411: Vimioso;27.3;2.3;0;? ?;2.3;1;11.6
11E0412: Vinhais;20.4;3.8;0;? ?;.5;? ?;7.5
16B1001: Alcobaça;21.7;3.2;.3;1.4;1.7;1.3;11.2
16B1101: Alenquer;21.7;3.7;.3;1.5;.9;1;10.7
16B1102: Arruda dos Vinhos;23.2;3.4;? ?;.6;.9;1.6;11
16B1005: Bombarral;21.2;4.4;.2;1.5;1.6;1.8;8.8
16B1104: Cadaval;23.6;3.5;.2;3.1;.4;.4;14.6
16B1006: Caldas da Rainha;20.9;3.6;.3;1.7;1;.8;10.9
16B1108: Lourinhã;23.8;4.6;.4;1.6;1;.9;11.5
16B1011: Nazaré;28.9;5.3;.6;2.6;.9;1.5;15.1
16B1012: Óbidos;21.3;2.6;0;2;1.5;1.7;10.4
16B1014: Peniche;26.8;5;.6;3.6;1.5;1;13.2
16B1112: Sobral de Monte Agraço;35.2;6.6;? ?;1.1;1.9;2.3;14.4
16B1113: Torres Vedras;23.5;3.6;.2;1.6;1;1.3;11.9
16D0101: Águeda;26.8;5.2;.2;1.8;2;1.1;13.1
16D0102: Albergaria-a-Velha;32.7;6.1;.3;1.9;2.3;1.1;14.6
16D0103: Anadia;28.3;4.1;.2;1.9;3.6;1.5;12.8
16D0105: Aveiro;28.8;4.6;.6;3.6;1.4;1.1;16.9
16D0108: Estarreja;28.8;5;.2;2.8;2;.8;15.3
16D0110: Ílhavo;29;5.1;.3;3.1;2.8;.9;15.4
16D0112: Murtosa;25.7;6.7;? ?;1.8;1.3;.9;10.7
16D0114: Oliveira do Bairro;30.7;5;.2;1.5;3;1.3;13.2
16D0115: Ovar;23.3;4.9;.2;2.4;1;.5;10.6
16D0117: Sever do Vouga;24.9;3.4;? ?;1.2;1.3;.4;14.1
16D0118: Vagos;20.3;4;? ?;1.8;1.5;1.3;10.8
16E0601: Arganil;23.6;5.2;? ?;.8;1.4;? ?;11.7
16E0602: Cantanhede;29;4.7;.2;1.6;1.4;1.1;16.3
16E0603: Coimbra;24.2;4.3;.8;1.8;1.1;.9;11.8
16E0604: Condeixa-a-Nova;13.7;2.9;0;.9;.6;0;7
16E0605: Figueira da Foz;25.8;4.7;.4;2.9;1.1;1;13.7
16E0606: Góis;21.7;4.5;0;.8;? ?;? ?;9.5
16E0607: Lousã;20;3.5;0;1.1;.5;.7;9.5
16E0111: Mealhada;22.5;3.8;? ?;1.3;2.4;1.1;10.2
16E0608: Mira;30.7;4.7;.4;3.3;2.3;1.3;16.2
16E0609: Miranda do Corvo;16.2;4.6;? ?;.4;.9;.6;6.5
16E0610: Montemor-o-Velho;16.8;2.9;? ?;1.8;1.2;.2;9.1
16E1808: Mortágua;21.4;3.2;? ?;1.8;3.6;1.6;9.5
16E0611: Oliveira do Hospital;19.4;5;? ?;.7;2.5;.6;7.2
16E0612: Pampilhosa da Serra;14.6;4.5;0;0;? ?;? ?;7.7
16E0613: Penacova;15.5;2.8;0;.7;1.1;.2;9
16E0614: Penela;17.4;2;0;.7;1.7;? ?;8.5
16E0615: Soure;15.7;3.8;? ?;.9;.4;.5;7.6
16E0616: Tábua;25;5.5;0;1.2;1.2;1.3;10.8
16E0617: Vila Nova de Poiares;19.7;3.4;0;1.6;1.7;.6;9.3
16F1002: Alvaiázere;24.4;2.9;0;1.5;1.4;.6;13.7
16F1003: Ansião;13.9;2.3;0;? ?;1.2;.8;6.1
16F1004: Batalha;18.5;3.2;? ?;1.6;1.6;.9;9
16F1007: Castanheira de Pêra;24.4;6.6;0;? ?;3.1;1.9;8.9
16F1008: Figueiró dos Vinhos;23.9;3.4;? ?;1.4;3.8;.7;8.8
16F1009: Leiria;22.2;3.7;.4;1.9;.8;.8;12.5
16F1010: Marinha Grande;33.1;6.8;.6;3.9;1.5;2;16.5
16F1013: Pedrógão Grande;31.3;7;0;? ?;3.5;0;12.3
16F1015: Pombal;21;2.8;? ?;1.4;2.9;1.5;8.7
16F1016: Porto de Mós;19.8;3.9;? ?;1.1;1.3;1.1;8.7
16G0901: Aguiar da Beira;16.8;3.5;0;0;3;0;4.7
16G1802: Carregal do Sal;27.9;5;0;1.4;3;.4;13.4
16G1803: Castro Daire;17.2;3.5;0;1.2;1.7;.3;7
16G1806: Mangualde;25.7;4.6;? ?;1.6;2.2;.9;11.3
16G1809: Nelas;25.2;4.5;.4;1.6;1.8;.6;13.7
16G1810: Oliveira de Frades;24.6;5.7;0;2.7;.9;.6;12.4
16G1811: Penalva do Castelo;19.3;5.7;? ?;? ?;1;.6;9
16G1814: Santa Comba Dão;23.5;4.4;? ?;1.1;2.4;.7;10.5
16G1816: São Pedro do Sul;15.8;3.7;0;.6;.8;.3;7.4
16G1817: Sátão;11.9;2.1;0;.7;1.5;.5;4.9
16G1821: Tondela;21.9;3.6;? ?;1.3;1.7;.6;11.5
16G1822: Vila Nova de Paiva;17.3;4.7;? ?;? ?;1.9;.6;5.8
16G1823: Viseu;22.7;3.6;.3;1.6;1;.5;13
16G1824: Vouzela;22.6;5;? ?;1.2;1.6;.4;11.8
16H0502: Castelo Branco;27.3;4.1;? ?;.8;1.5;.8;13.1
16H0505: Idanha-a-Nova;36.1;4.9;0;.4;2.6;1.1;14.6
16H0506: Oleiros;15.6;2.6;0;? ?;? ?;? ?;6.4
16H0507: Penamacor;24.6;5.3;0;.6;? ?;0;11.9
16H0508: Proença-a-Nova;15;4.7;0;? ?;? ?;? ?;5.9
16H0511: Vila Velha de Ródão;29.9;4.1;? ?;? ?;1;1;13.7
16I1401: Abrantes;19.3;3.7;.2;.5;1.1;.4;8.7
16I1402: Alcanena;23.5;4.2;? ?;1.3;.3;? ?;13.1
16I1408: Constância;16.8;3.9;0;.7;0;? ?;7.9
