Location;HM;H;M
011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;20679;9845;10834
011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;6731;3308;3423
011319: Vila de Cucujães;9964;4831;5133
1310: Paredes;84414;40839;43575
131001: Aguiar de Sousa;1583;774;809
131002: Astromil;1067;512;555
131003: Baltar;4727;2261;2466
131004: Beire;2014;967;1047
131008: Cete;3095;1489;1606
131009: Cristelo;1763;857;906
131010: Duas Igrejas;3654;1790;1864
131011: Gandra;6980;3410;3570
131013: Lordelo;9112;4489;4623
131014: Louredo;1386;663;723
131017: Parada de Todeia;1795;891;904
131025: Paredes;20596;9808;10788
131018: Rebordosa;8497;4092;4405
131019: Recarei;4479;2170;2309
131020: Sobreira;4125;2006;2119
131021: Sobrosa;2497;1171;1326
131022: Vandoma;2307;1164;1143
131024: Vilela;4737;2325;2412
1312: Porto;231962;106206;125756
131202: Bonfim;22989;10372;12617
131203: Campanhã;29684;13707;15977
131210: Paranhos;45871;20882;24989
131211: Ramalde;38860;17751;21109
131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;29154;13567;15587
131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;37436;16978;20458
131218: União das freguesias de Lordelo do Ouro e Massarelos;27968;12949;15019
1313: Póvoa de Varzim;64320;30268;34052
131305: Balazar;2481;1160;1321
131307: Estela;2288;1106;1182
131308: Laundos;1938;930;1008
131311: Rates;2477;1184;1293
131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;35476;16500;18976
131314: União das freguesias de Aguçadoura e Navais;5394;2594;2800
131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;14266;6794;7472
0109: Santa Maria da Feira;136720;65867;70853
010901: Argoncilhe;8177;3942;4235
010902: Arrifana;6304;3030;3274
010904: Escapães;3310;1558;1752
010907: Fiães;7095;3390;3705
010908: Fornos;3435;1674;1761
010913: Lourosa;8012;3788;4224
010914: Milheirós de Poiares;3598;1781;1817
010916: Mozelos;7295;3567;3728
010917: Nogueira da Regedoura;5742;2786;2956
010919: Paços de Brandão;4771;2333;2438
010921: Rio Meão;4815;2313;2502
010922: Romariz;2739;1328;1411
010924: Sanguedo;3478;1676;1802
010925: Santa Maria de Lamas;4754;2272;2482
010926: São João de Ver;11033;5351;5682
010918: São Paio de Oleiros;3659;1731;1928
010932: União das freguesias de Caldas de São Jorge e Pigeiros;3693;1802;1891
010933: União das freguesias de Canedo, Vale e Vila Maior;8882;4306;4576
010934: União das freguesias de Lobão, Gião, Louredo e Guisande;9656;4674;4982
010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;19786;9425;10361
010936: União de freguesias de São Miguel do Souto e Mosteirô;6486;3140;3346
1314: Santo Tirso;67785;32242;35543
131401: Agrela;1483;701;782
131402: Água Longa;2347;1161;1186
131405: Aves;7950;3767;4183
131413: Monte Córdova;3850;1850;2000
131430: Negrelos (São Tomé);3756;1758;1998
131416: Rebordões;3131;1523;1608
131418: Reguenga;1427;669;758
131419: Roriz;3307;1616;1691
131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;6372;2994;3378
131434: Vila Nova do Campo;6322;3049;3273
131435: União das freguesias de Carreira e Refojos de Riba de Ave;2043;978;1065
131436: União das freguesias de Lamelas e Guimarei;1567;755;812
131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;20635;9650;10985
131432: Vilarinho;3595;1771;1824
0116: São João da Madeira;22162;10396;11766
011601: São João da Madeira;22162;10396;11766
1318: Trofa;38612;18472;20140
131806: Covelas;1461;697;764
131808: Muro;1841;877;964
131809: União das freguesias de Alvarelhos e Guidões;4777;2337;2440
131810: União das freguesias de Bougado (São Martinho e Santiago);21412;10161;11251
131811: União das freguesias de Coronado (São Romão e São Mamede);9121;4400;4721
0119: Vale de Cambra;21279;10277;11002
011901: Arões;1170;550;620
011903: Cepelos;1159;560;599
011905: Junqueira;832;396;436
011906: Macieira de Cambra;4390;2121;2269
011907: Roge;1543;741;802
011902: São Pedro de Castelões;6835;3309;3526
011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;5350;2600;2750
1315: Valongo;94795;44977;49818
131501: Alfena;14439;6924;7515
131503: Ermesinde;39148;18314;20834
131506: União das freguesias de Campo e Sobrado;15288;7399;7889
131505: Valongo;25920;12340;13580
1316: Vila do Conde;80921;38707;42214
131602: Árvore;5562;2712;2850
131603: Aveleda;1226;589;637
131604: Azurara;2368;1133;1235
131607: Fajozes;1639;809;830
131610: Gião;1660;823;837
131611: Guilhabreu;2192;1062;1130
131612: Junqueira;1921;919;1002
131613: Labruge;3006;1467;1539
131614: Macieira da Maia;2480;1204;1276
131616: Mindelo;3991;1880;2111
131617: Modivas;1762;840;922
131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;2664;1305;1359
131632: União das freguesias de Fornelo e Vairão;2416;1131;1285
131633: União das freguesias de Malta e Canidelo;2224;1090;1134
131634: União das freguesias de Retorta e Tougues;2044;1014;1030
131635: União das freguesias de Rio Mau e Arcos;2646;1265;1381
131636: União das freguesias de Touguinha e Touguinhó;3347;1596;1751
131637: União das freguesias de Vilar e Mosteiró;2402;1146;1256
131627: Vila Chã;3418;1641;1777
131628: Vila do Conde;29384;13824;15560
131630: Vilar de Pinheiro;2569;1257;1312
1317: Vila Nova de Gaia;304149;144141;160008
131701: Arcozelo;15143;7229;7914
131702: Avintes;10835;5276;5559
131703: Canelas;13924;6714;7210
131704: Canidelo;28075;13326;14749
131709: Madalena;10572;5054;5518
131712: Oliveira do Douro;22631;10669;11962
131717: São Félix da Marinha;13574;6569;7005
131725: União das freguesias de Grijó e Sermonde;12023;5745;6278
131726: União das freguesias de Gulpilhares e Valadares;22356;10593;11763
131727: União das freguesias de Mafamude e Vilar do Paraíso;52911;24459;28452
131728: União das freguesias de Pedroso e Seixezelo;20245;9758;10487
131729: União das freguesias de Sandim, Olival, Lever e Crestuma;15984;7719;8265
131730: União das freguesias de Santa Marinha e São Pedro da Afurada;34095;15829;18266
131731: União das freguesias de Serzedo e Perosinho;13761;6667;7094
131723: Vilar de Andorinho;18020;8534;9486
11B: Alto Tâmega;84330;40080;44250
1702: Boticas;5002;2390;2612
170217: Alturas do Barroso e Cerdedo;389;203;186
170218: Ardãos e Bobadela;464;225;239
170203: Beça;776;374;402
170219: Boticas e Granja;1541;733;808
170220: Codessoso, Curros e Fiães do Tâmega;257;114;143
170208: Covas do Barroso;192;89;103
170210: Dornelas;274;122;152
170213: Pinho;329;155;174
170215: Sapiãos;398;188;210
170221: Vilar e Viveiro;382;187;195
1703: Chaves;37623;17840;19783
170301: Águas Frias;604;301;303
170302: Anelhe;443;211;232
170305: Bustelo;449;212;237
170309: Cimo de Vila da Castanheira;338;163;175
170310: Curalha;416;203;213
170312: Ervededo;594;284;310
170313: Faiões;829;408;421
170314: Lama de Arcos;292;138;154
170316: Mairos;272;117;155
170317: Moreiras;215;108;107
170318: Nogueira da Montanha;463;224;239
170320: Oura;516;245;271
170321: Outeiro Seco;853;429;424
170322: Paradela;216;105;111
170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela);260;123;137
170324: Redondelo;455;237;218
170327: Sanfins;200;90;110
170329: Santa Leocádia;254;114;140
170350: Santa Maria Maior;11427;5274;6153
170330: Santo António de Monforte;398;187;211
170331: Santo Estêvão;543;270;273
170333: São Pedro de Agostém;1323;628;695
170334: São Vicente;185;91;94
170340: Tronco;202;91;111
170354: União das freguesias da Madalena e Samaiões;2421;1110;1311
170355: União das freguesias das Eiras, São Julião de Montenegro e Cela;849;420;429
170356: União das freguesias de Calvão e Soutelinho da Raia;430;198;232
170357: União das freguesias de Loivos e Póvoa de Agrações;587;278;309
170358: União das freguesias de Santa Cruz/Trindade e Sanjurge;3387;1675;1712
170359: União das freguesias de Soutelo e Seara Velha;462;231;231
170360: União das freguesias de Travancas e Roriz;454;207;247
170341: Vale de Anta;1627;761;866
170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);1728;810;918
170343: Vila Verde da Raia;816;403;413
170344: Vilar de Nantes;1895;887;1008
170345: Vilarelho da Raia;464;230;234
170347: Vilas Boas;164;88;76
170349: Vilela do Tâmega;354;176;178
170348: Vilela Seca;238;113;125
1706: Montalegre;9279;4466;4813
170601: Cabril;512;252;260
170603: Cervos;227;118;109
170604: Chã;701;347;354
170607: Covelo do Gerês;166;83;83
170609: Ferral;293;140;153
170612: Gralhas;186;95;91
170616: Morgade;195;93;102
170618: Negrões;132;64;68
170619: Outeiro;143;74;69
170623: Pitões das Junias;151;70;81
170625: Reigoso;131;57;74
170626: Salto;1264;605;659
170627: Santo André;149;75;74
170629: Sarraquinhos;300;147;153
170631: Solveira;151;73;78
170632: Tourém;112;57;55
170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe;273;121;152
170637: União das freguesias de Meixedo e Padornelos;265;125;140
170638: União das freguesias de Montalegre e Padroso;1784;818;966
170639: União das freguesias de Paradela, Contim e Fiães;245;118;127
170640: União das freguesias de Sezelhe e Covelães;229;111;118
170641: União das freguesias de Venda Nova e Pondras;346;161;185
170642: União das freguesias de Viade de Baixo e Fervidelas;693;337;356
170643: União das freguesias de Vilar de Perdizes e Meixide;464;235;229
170635: Vila da Ponte;167;90;77
1709: Ribeira de Pena;5887;2895;2992
170901: Alvadia;164;89;75
170902: Canedo;275;128;147
170906: Santa Marinha;550;276;274
170908: União das freguesias de Cerva e Limões;2285;1147;1138
170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;2613;1255;1358
1712: Valpaços;14714;6877;7837
171201: Água Revés e Crasto;275;122;153
171203: Algeriz;502;232;270
171205: Bouçoães;304;141;163
171206: Canaveses;170;74;96
171232: Carrazedo de Montenegro e Curros;1643;807;836
171209: Ervões;534;261;273
171211: Fornos do Pinhal;320;155;165
171212: Friões;447;204;243
171233: Lebução, Fiães e Nozelos;550;263;287
171215: Padrela e Tazem;277;126;151
171216: Possacos;358;167;191
171217: Rio Torto;284;127;157
171219: Santa Maria de Emeres;311;146;165
171220: Santa Valha;317;155;162
171221: Santiago da Ribeira de Alhariz;505;225;280
171222: São João da Corveira;457;206;251
171223: São Pedro de Veiga de Lila;242;118;124
171224: Serapicos;196;91;105
171234: Sonim e Barreiros;314;152;162
171235: Tinhela e Alvarelhos;260;116;144
171227: Vales;191;90;101
171236: Valpaços e Sanfins;4669;2167;2502
171229: Vassal;395;182;213
171230: Veiga de Lila;232;103;129
171231: Vilarandelo;961;447;514
1713: Vila Pouca de Aguiar;11825;5612;6213
171302: Alfarela de Jales;357;169;188
171319: Alvão;776;378;398
171303: Bornes de Aguiar;1931;914;1017
171304: Bragado;448;207;241
171305: Capeludos;364;168;196
171317: Sabroso de Aguiar;548;272;276
171310: Soutelo de Aguiar;602;285;317
171311: Telões;1330;629;701
171312: Tresminas;341;169;172
171320: União das freguesias de Pensalvos e Parada de Monteiros;290;135;155
171313: Valoura;295;146;149
171314: Vila Pouca de Aguiar;3124;1462;1662
171315: Vreia de Bornes;567;270;297
171316: Vreia de Jales;852;408;444
11C: Tâmega e Sousa;408878;196853;212025
1301: Amarante;52131;24725;27406
130103: Ansiães;517;246;271
130107: Candemil;586;276;310
130112: Fregim;2727;1276;1451
130115: Fridão;664;324;340
130117: Gondar;1537;738;799
130134: Gouveia (São Simão);577;283;294
130118: Jazente;517;257;260
130119: Lomba;818;405;413
130120: Louredo;629;301;328
130121: Lufrei;1592;757;835
130123: Mancelos;2830;1358;1472
130126: Padronelo;754;360;394
130128: Rebordelo;267;123;144
130129: Salvador do Monte;893;430;463
130135: Telões;3943;1906;2037
130136: Travanca;2014;962;1052
130141: União das freguesias de Aboadela, Sanche e Várzea;1446;680;766
130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;11577;5372;6205
130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei;827;392;435
130144: União das freguesias de Figueiró (Santiago e Santa Cristina);3632;1735;1897
130145: União das freguesias de Freixo de Cima e de Baixo;3451;1660;1791
130146: União das freguesias de Olo e Canadelo;434;199;235
130147: Vila Meã;4558;2173;2385
130148: União das freguesias de Vila Garcia, Aboim e Chapa;1663;776;887
130138: Vila Caiz;2853;1336;1517
130139: Vila Chã do Marão;825;400;425
1302: Baião;17527;8301;9226
130204: Frende;578;282;296
130205: Gestaçô;1008;475;533
130206: Gove;1740;860;880
130207: Grilo;472;240;232
130208: Loivos do Monte;301;150;151
130215: Santa Marinha do Zêzere;2466;1163;1303
130221: União das freguesias de Ancede e Ribadouro;2332;1106;1226
130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata;733;329;404
130223: União das freguesias de Campelo e Ovil;3691;1707;1984
130224: União das freguesias de Loivos da Ribeira e Tresouras;700;342;358
130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;1654;777;877
130226: União das freguesias de Teixeira e Teixeiró;723;332;391
130219: Valadares;733;351;382
130220: Viariz;396;187;209
0106: Castelo de Paiva;15597;7535;8062
010602: Fornos;1277;608;669
010606: Real;1194;572;622
010607: Santa Maria de Sardoura;2275;1120;1155
010608: São Martinho de Sardoura;1852;881;971
010610: União das freguesias de Raiva, Pedorido e Paraíso;4211;2065;2146
010611: União das freguesias de Sobrado e Bairros;4788;2289;2499
0305: Celorico de Basto;17666;8410;9256
030501: Agilde;1160;578;582
030502: Arnóia;1511;725;786
030520: Basto (São Clemente);1402;686;716
030503: Borba de Montanha;1115;491;624
030508: Codeçoso;387;179;208
030510: Fervença;1059;490;569
030515: Moreira do Castelo;586;289;297
030517: Rego;1031;495;536
030518: Ribas;901;418;483
030523: União das freguesias de Britelo, Gémeos e Ourilhe;3431;1651;1780
030524: União das freguesias de Caçarilhe e Infesta;512;241;271
030525: União das freguesias de Canedo de Basto e Corgo;1100;523;577
030526: União das freguesias de Carvalho e Basto (Santa Tecla);942;460;482
030527: União das freguesias de Veade, Gagos e Molares;1711;789;922
030521: Vale de Bouro;818;395;423
1804: Cinfães;17747;8603;9144
180403: Cinfães;3079;1437;1642
180404: Espadanedo;1163;578;585
180405: Ferreiros de Tendais;544;275;269
180406: Fornelos;592;286;306
180408: Moimenta;356;172;184
180409: Nespereira;1700;824;876
180410: Oliveira do Douro;1258;630;628
180412: Santiago de Piães;1608;782;826
180413: São Cristóvão de Nogueira;1641;784;857
180414: Souselo;2840;1389;1451
180415: Tarouquela;1041;499;542
180416: Tendais;699;331;368
180417: Travanca;712;357;355
180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires;514;259;255
1303: Felgueiras;55883;26923;28960
130301: Aião;828;412;416
130302: Airães;2288;1079;1209
130305: Friande;1747;859;888
130306: Idães;2555;1270;1285
130307: Jugueiros;1221;589;632
130313: Penacova;1064;515;549
130314: Pinheiro;1050;516;534
130315: Pombeiro de Ribavizela;2073;1023;1050
130317: Refontoura;1897;935;962
130318: Regilde;1184;560;624
130319: Revinhade;799;401;398
130324: Sendim;1568;755;813
130334: União das freguesias de Macieira da Lixa e Caramos;3609;1727;1882
130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure;17695;8506;9189
130336: União das freguesias de Pedreira, Rande e Sernande;3294;1592;1702
130337: União das freguesias de Torrados e Sousa;3294;1632;1662
130338: União das freguesias de Unhão e Lordelo;1097;543;554
130339: União das freguesias de Vila Cova da Lixa e Borba de Godim;6096;2800;3296
130340: União das freguesias de Vila Fria e Vizela (São Jorge);1107;528;579
130341: União das freguesias de Vila Verde e Santão;1417;681;736
1305: Lousada;47401;22890;24511
130502: Aveleda;2119;1026;1093
130504: Caíde de Rei;2423;1171;1252
130510: Lodares;2063;1003;1060
130512: Macieira;1281;607;674
130513: Meinedo;3803;1810;1993
130515: Nevogilde;2452;1207;1245
130524: Sousela;1791;877;914
130525: Torno;2452;1168;1284
130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida);2144;992;1152
130528: União das freguesias de Cristelos, Boim e Ordem;7561;3702;3859
130529: União das freguesias de Figueiras e Covas;2148;1048;1100
130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão);5826;2868;2958
130531: União das freguesias de Nespereira e Casais;3438;1679;1759
130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga;6604;3125;3479
130526: Vilar do Torno e Alentém;1296;607;689
1307: Marco de Canaveses;49563;23764;25799
130732: Alpendorada, Várzea e Torrão;8060;3918;4142
130733: Avessadas e Rosém;1375;684;691
130704: Banho e Carvalhosa;1074;505;569
130734: Bem Viver;3541;1670;1871
130705: Constance;1518;732;786
130736: Marco;11071;5247;5824
130737: Paredes de Viadores e Manhuncelos;1535;742;793
130738: Penha Longa e Paços de Gaiolo;2524;1242;1282
130739: Sande e São Lourenço do Douro;2451;1170;1281
130735: Santo Isidoro e Livração;1814;848;966
130722: Soalhães;3320;1564;1756
130723: Sobretâmega;1084;531;553
130724: Tabuado;1339;667;672
130740: Várzea, Aliviada e Folhada;2346;1128;1218
130741: Vila Boa de Quires e Maureles;3462;1675;1787
130730: Vila Boa do Bispo;3049;1441;1608
1309: Paços de Ferreira;55623;27362;28261
130902: Carvalhosa;4520;2215;2305
130904: Eiriz;2179;1080;1099
130905: Ferreira;4251;2067;2184
130906: Figueiró;2477;1196;1281
130917: Frazão Arreigada;5827;2831;2996
130908: Freamunde;7563;3703;3860
130910: Meixomil;3747;1828;1919
130918: Paços de Ferreira;9679;4603;5076
130913: Penamaior;3587;1726;1861
130914: Raimonda;2492;1211;1281
130919: Sanfins Lamoso Codessos;5544;2657;2887
130916: Seroa;3757;2245;1512
1311: Penafiel;69687;33447;36240
131101: Abragão;2310;1143;1167
131102: Boelhe;1531;714;817
131103: Bustelo;1682;806;876
131104: Cabeça Santa;2356;1143;1213
131105: Canelas;1579;781;798
131106: Capela;963;447;516
131107: Castelões;1363;645;718
131108: Croca;1792;897;895
131109: Duas Igrejas;2254;1076;1178
131110: Eja;863;409;454
131112: Fonte Arcada;1457;705;752
131113: Galegos;2585;1276;1309
131141: Guilhufe e Urrô;3858;1854;2004
131115: Irivo;2101;998;1103
131142: Lagares e Figueira;2785;1358;1427
131140: Luzim e Vila Cova;1541;752;789
131121: Oldrões;1955;914;1041
131122: Paço de Sousa;3840;1828;2012
131139: Penafiel;15700;7373;8327
131125: Perozelo;1317;622;695
131128: Rans;1805;880;925
131132: Recezinhos (São Mamede);1365;640;725
131133: Recezinhos (São Martinho);1709;832;877
131129: Rio de Moinhos;2542;1241;1301
131138: Rio Mau;1341;673;668
131134: Sebolido;823;401;422
131143: Termas de São Vicente;4763;2295;2468
131136: Valpedre;1507;744;763
1813: Resende;10053;4893;5160
181302: Barrô;595;284;311
181303: Cárquere;746;364;382
181310: Paus;421;201;220
181311: Resende;3079;1484;1595
181312: São Cipriano;672;345;327
181313: São João de Fontoura;540;258;282
181314: São Martinho de Mouros;1331;645;686
181316: União das freguesias de Anreade e São Romão de Aregos;1347;664;683
181317: União das freguesias de Felgueiras e Feirão;361;179;182
181318: União das freguesias de Freigil e Miomães;679;335;344
181319: União das freguesias de Ovadas e Panchorra;282;134;148
11D: Douro;184043;87326;96717
1701: Alijó;10492;5105;5387
170101: Alijó;2586;1263;1323
170107: Favaios;937;456;481
170108: Pegarinhos;393;188;205
170109: Pinhão;623;310;313
170112: Sanfins do Douro;1258;613;645
170113: Santa Eugénia;279;141;138
170114: São Mamede de Ribatua;586;283;303
170120: União das freguesias de Carlão e Amieiro;630;312;318
170121: União das freguesias de Castedo e Cotas;535;257;278
170122: União das freguesias de Pópulo e Ribalonga;409;197;212
170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas;449;219;230
170116: Vila Chã;446;209;237
170117: Vila Verde;546;260;286
170118: Vilar de Maçada;815;397;418
1801: Armamar;5680;2662;3018
180101: Aldeias;309;140;169
180120: Armamar;1511;719;792
180104: Cimbres;270;129;141
180106: Folgosa;334;162;172
180107: Fontelo;602;271;331
180109: Queimada;291;139;152
180110: Queimadela;208;108;100
180111: Santa Cruz;173;83;90
180114: São Cosmado;513;232;281
180115: São Martinho das Chãs;478;216;262
180121: União das freguesias de Aricera e Goujoim;184;91;93
180122: União das freguesias de São Romão e Santiago;225;101;124
180123: União das freguesias de Vila Seca e Santo Adrião;410;187;223
180118: Vacalar;172;84;88
0403: Carrazeda de Ansiães;5494;2623;2871
040304: Carrazeda de Ansiães;1706;800;906
040306: Fonte Longa;259;123;136
040308: Linhares;348;170;178
040309: Marzagão;294;155;139
040311: Parambos;183;88;95
040312: Pereiros;151;76;75
040313: Pinhal do Norte;214;103;111
040314: Pombal;230;101;129
040316: Seixo de Ansiães;240;113;127
040320: União das freguesias de Amedo e Zedes;402;197;205
040321: União das freguesias de Belver e Mogo de Malta;365;177;188
040322: União das freguesias de Castanheiro do Norte e Ribalonga;403;183;220
040323: União das freguesias de Lavandeira, Beira Grande e Selores;337;170;167
040318: Vilarinho da Castanheira;362;167;195
0404: Freixo de Espada à Cinta;3215;1533;1682
040404: Ligares;332;148;184
040406: Poiares;326;158;168
040407: União das freguesias de Freixo de Espada à Cinta e Mazouco;2114;1011;1103
040408: União das freguesias de Lagoaça e Fornos;443;216;227
1805: Lamego;24348;11509;12839
180502: Avões;503;247;256
180504: Britiande;794;375;419
180505: Cambres;1593;756;837
180507: Ferreirim;897;406;491
180508: Ferreiros de Avões;428;208;220
180509: Figueira;279;136;143
180510: Lalim;660;321;339
180525: Lamego (Almacave e Sé);12090;5656;6434
180511: Lazarim;409;199;210
180516: Penajóia;804;374;430
180517: Penude;1407;672;735
180519: Samodães;172;85;87
180520: Sande;812;381;431
180526: União das freguesias de Bigorne, Magueija e Pretarouca;578;279;299
180527: União das freguesias de Cepões, Meijinhos e Melcões;972;479;493
180528: União das freguesias de Parada do Bispo e Valdigem;892;445;447
180523: Várzea de Abrunhais;329;153;176
180524: Vila Nova de Souto d'El-Rei;729;337;392
1704: Mesão Frio;3555;1662;1893
170401: Barqueiros;538;248;290
170402: Cidadelhe;131;64;67
170408: Mesão Frio (Santo André);1620;742;878
170403: Oliveira;349;181;168
170407: Vila Marim;917;427;490
1807: Moimenta da Beira;9411;4483;4928
180702: Alvite;1025;491;534
180703: Arcozelos;606;299;307
180705: Baldos;152;68;84
180706: Cabaços;220;102;118
180707: Caria;406;194;212
180708: Castelo;198;95;103
180709: Leomil;1133;535;598
180710: Moimenta da Beira;2843;1367;1476
180713: Passô;286;136;150
180716: Vila da Rua;510;234;276
180717: Sarzedo;154;74;80
180719: Sever;515;242;273
180721: União das freguesias de Paradinha e Nagosa;231;106;125
180722: União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;386;186;200
180723: União das freguesias de Peva e Segões;430;206;224
180720: Vilar;316;148;168
1707: Murça;5249;2530;2719
170701: Candedo;820;410;410
170703: Fiolhoso;417;184;233
170704: Jou;535;264;271
170705: Murça;1965;940;1025
170710: União das freguesias de Carva e Vilares;434;209;225
170711: União das freguesias de Noura e Palheiros;813;393;420
170708: Valongo de Milhais;265;130;135
1812: Penedono;2731;1285;1446
181202: Beselga;270;121;149
181203: Castainço;128;63;65
181207: Penela da Beira;315;152;163
181208: Póvoa de Penela;337;158;179
181209: Souto;288;139;149
181210: União das freguesias de Antas e Ourozinho;285;139;146
181211: União das freguesias de Penedono e Granja;1108;513;595
1708: Peso da Régua;14553;6822;7731
170802: Fontelas;629;309;320
170805: Loureiro;891;419;472
170809: Sedielos;731;324;407
170813: União das freguesias de Galafura e Covelinhas;705;327;378
170814: União das freguesias de Moura Morta e Vinhós;750;366;384
170815: União das freguesias de Peso da Régua e Godim;8916;4172;4744
170816: União das freguesias de Poiares e Canelas;1194;555;639
170810: Vilarinho dos Freires;737;350;387
1710: Sabrosa;5556;2654;2902
171001: Celeirós;200;98;102
171002: Covas do Douro;363;187;176
171004: Gouvinhas;221;109;112
171007: Paços;674;320;354
171005: Parada de Pinhão;257;118;139
171009: Sabrosa;1136;551;585
171011: São Lourenço de Ribapinhão;319;148;171
171013: Souto Maior;439;215;224
171014: Torre do Pinhão;296;141;155
171016: União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro;464;207;257
171017: União das freguesias de São Martinho de Antas e Paradela de Guiães;948;446;502
171015: Vilarinho de São Romão;239;114;125
1711: Santa Marta de Penaguião;6104;2899;3205
171101: Alvações do Corgo;405;185;220
171102: Cumieira;1007;470;537
171103: Fontes;661;321;340
171106: Medrões;434;209;225
171110: Sever;582;294;288
171111: União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane;2495;1172;1323
171112: União das freguesias de Louredo e Fornelos;520;248;272
1815: São João da Pesqueira;6780;3316;3464
181501: Castanheiro do Sul;382;192;190
181502: Ervedosa do Douro;1029;480;549
181504: Nagozelo do Douro;340;176;164
181505: Paredes da Beira;493;245;248
181507: Riodades;406;203;203
181509: Soutelo do Douro;373;186;187
181515: União das freguesias de São João da Pesqueira e Várzea de Trevões;2276;1103;1173
181516: União das freguesias de Trevões e Espinhosa;548;253;295
181517: União das freguesias de Vilarouco e Pereiros;357;180;177
181511: Vale de Figueira;356;183;173
181512: Valongo dos Azeites;220;115;105
1818: Sernancelhe;5713;2760;2953
181801: Arnas;187;91;96
181802: Carregal;428;185;243
181803: Chosendo;269;135;134
181804: Cunha;323;152;171
181806: Faia;160;77;83
181810: Granjal;283;142;141
181811: Lamosa;179;89;90
181814: Quintela;249;115;134
181818: União das freguesias de Ferreirim e Macieira;615;308;307
181819: União das freguesias de Fonte Arcada e Escurquela;431;210;221
181820: União das freguesias de Penso e Freixinho;363;175;188
181821: União das freguesias de Sernancelhe e Sarzeda;1758;841;917
181817: Vila da Ponte;468;240;228
1819: Tabuaço;5039;2372;2667
181901: Adorigo;301;144;157
181902: Arcos;162;77;85
181904: Chavães;299;142;157
181905: Desejosa;117;59;58
181906: Granja do Tedo;156;72;84
181908: Longa;209;106;103
181913: Sendim;677;316;361
181914: Tabuaço;1537;696;841
181918: União das freguesias de Barcos e Santa Leocádia;626;307;319
181919: União das freguesias de Paradela e Granjinha;99;48;51
181920: União das freguesias de Pinheiros e Vale de Figueira;239;109;130
181921: União das freguesias de Távora e Pereiro;362;173;189
181917: Valença do Douro;255;123;132
1820: Tarouca;7374;3529;3845
182004: Mondim da Beira;590;280;310
182005: Salzedas;652;312;340
182006: São João de Tarouca;460;220;240
182011: União das freguesias de Gouviães e Ucanha;698;334;364
182012: União das freguesias de Granja Nova e Vila Chã da Beira;429;207;222
182013: União das freguesias de Tarouca e Dálvares;4337;2065;2272
182009: Várzea da Serra;208;111;97
0409: Torre de Moncorvo;6822;3221;3601
040901: Açoreira;340;187;153
040903: Cabeça Boa;283;142;141
040905: Carviçais;507;230;277
040906: Castedo;178;90;88
040909: Horta da Vilariça;209;104;105
040910: Larinho;327;159;168
040911: Lousa;289;127;162
040913: Mós;189;94;95
040916: Torre de Moncorvo;2612;1219;1393
040918: União das freguesias de Adeganha e Cardanha;437;212;225
040919: União das freguesias de Felgar e Souto da Velha;859;396;463
040920: União das freguesias de Felgueiras e Maçores;330;150;180
040921: União das freguesias de Urros e Peredo dos Castelhanos;262;111;151
0914: Vila Nova de Foz Côa;6304;2983;3321
091401: Almendra;309;151;158
091402: Castelo Melhor;168;86;82
091403: Cedovim;283;135;148
091404: Chãs;234;106;128
091405: Custóias;192;94;98
091418: Freixo de Numão;518;240;278
091407: Horta;161;74;87
091410: Muxagata;268;122;146
091411: Numão;210;99;111
091412: Santa Comba;145;63;82
091414: Sebadelhe;215;100;115
091415: Seixas;312;151;161
091416: Touça;188;85;103
