#threads,exec_time,speedup
1S,0.641721,1.000000
1,0.649726,.987679
2,0.962317,.666849
3,1.123058,.571405
4,0.637691,1.006319
5,0.757619,.847023
6,1.297289,.494663
7,0.650249,.986885
8,0.630673,1.017517
