#threads,exec_time,speedup
1S,0.027225,1.000000
1,0.022320,1.219758
2,0.019665,1.384439
3,0.021050,1.293349
4,0.022440,1.213235
5,0.018767,1.450684
6,0.018637,1.460803
7,0.018735,1.453162
8,0.025236,1.078815
