#threads,exec_time,speedup
1S,0.033998,1.000000
1,0.028008,1.213867
2,0.026442,1.285757
3,0.031710,1.072153
4,0.024874,1.366808
5,0.024744,1.373989
6,0.025268,1.345496
7,0.032429,1.048382
8,0.025114,1.353746
