#threads,exec_time,speedup
1S,0.019410,1.000000
1,0.016241,1.195123
2,0.014995,1.294431
3,0.013715,1.415238
4,0.012980,1.495377
5,0.016896,1.148792
6,0.016054,1.209044
7,0.014104,1.376205
8,0.013031,1.489524
