#threads,exec_time,speedup
1S,0.386118,1.000000
1,0.367682,1.050141
2,0.364910,1.058118
3,0.462979,.833985
4,0.788450,.489717
5,0.601297,.642141
6,0.366225,1.054319
7,0.369266,1.045636
8,0.367664,1.050192
