#threads,exec_time,speedup
1S,0.058685,1.000000
1,0.050124,1.170796
2,0.047274,1.241380
3,0.044073,1.331540
4,0.050686,1.157814
5,0.046806,1.253792
6,0.046413,1.264408
7,0.051259,1.144872
8,0.044705,1.312716
