#threads,exec_time,speedup
1S,0.017705,1.000000
1,0.013872,1.276311
2,0.013359,1.325323
3,0.012579,1.407504
4,0.012568,1.408736
5,0.013838,1.279447
6,0.013519,1.309638
7,0.013041,1.357641
8,0.012754,1.388191
