#threads,exec_time,speedup
1S,7.260985,1.000000
1,7.973164,.910677
2,7.037087,1.031816
3,7.720782,.940446
4,6.953086,1.044282
5,7.313795,.992779
6,7.197635,1.008801
7,7.802472,.930600
8,7.160873,1.013980
