#threads,exec_time,speedup
1S,0.044338,1.000000
1,0.033312,1.330991
2,0.046215,.959385
3,0.032779,1.352634
4,0.032040,1.383832
5,0.038835,1.141702
6,0.033536,1.322101
7,0.033205,1.335280
8,0.037814,1.172528
