#threads,exec_time,speedup
1S,0.197405,1.000000
1,0.177026,1.115118
2,0.179277,1.101117
3,0.178532,1.105712
4,0.192351,1.026274
5,0.183107,1.078085
6,0.179246,1.101307
7,0.322431,.612239
8,0.389910,.506283
