Locations,CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice
 Pampilhosa da Serra,14.6,64.0,3.2764969984361603,18.9654,157500.0,0.0
 Vinhais,20.4,57.0,3.147894926232458,44.614799999999995,85000.0,0.0
 Lagoa,36.6,89.0,3.0708215297450425,9.9186,63000.0,0.0
 Santana,12.5,58.0,2.901435005760972,3.4625,84201.38888888889,0.0
 Vimioso,27.3,62.0,2.583110114412675,33.961200000000005,96000.0,0.0
 Penamacor,24.6,60.0,2.563374784907133,35.547,58325.0,0.0
 Cabeceiras de Basto,21.9,65.0,2.5514845753039452,13.5123,0.0,0.0
 Almeida,34.9,74.0,2.2124406347735435,39.995400000000004,76787.5,0.0
 Santa Cruz,15.1,71.0,2.127659574468085,2.6123,196603.125,280.0
 Oleiros,15.6,63.0,0.9531087477976607,7.0043999999999995,126687.5,400.0
 Vila Verde,28.7,66.0,0.6603402282765558,4.333699999999999,64982.5,0.0
 Pombal,21.0,82.0,0.36741214057507987,4.83,177342.5909090909,502.0
,,,,,219627.0564516129,0.0
