CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice,Parish,County,District,frequency,Security
22.5,92.3,26.235030999631967,625.5225,330000.0,785.0, Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra, Setúbal,44,9.775
22.0,59.49,24.961491690312123,67.738,140000.0,0.0, Resende, Viseu, Viseu,3,9.78
34.4,81.95,23.470865001809628,44.6168,32000.0,575.0, Moita, Anadia, Aveiro,237,9.656
28.5,68.62,23.44004340748779,61.56,140000.0,0.0, Sardoal, Santarém, Santarém,11,9.715
40.4,76.16,22.55990648743425,15.5944,200000.0,0.0, Corvo, Ilha do Corvo, Ilha do Corvo,1,9.596
48.5,88.44,21.88689888591172,75.272,334000.0,0.0, Santa Cruz das Flores, Ilha das Flores, Ilha das Flores,5,9.515
26.8,110.66,21.60598022666988,48.0256,55500.0,0.0, Maia, Ribeira Grande, Ilha de São Miguel,1,9.732000000000001
24.9,74.0,20.93470896211888,67.70309999999999,111333.33333333331,0.0, Sever do Vouga, Aveiro, Aveiro,24,9.751
13.9,73.46,20.023851439604748,49.0114,67000.0,330.0, Ansião, Leiria, Leiria,34,9.861
32.3,89.09,19.6642196846112,93.4439,359500.0,887.5, Madalena, Ilha do Pico, Ilha do Pico,355,9.677
26.4,56.92,19.126869271587072,41.8704,79000.0,0.0, Porto Moniz, Ilha da Madeira, Ilha da Madeira,21,9.736
11.9,61.87,18.921461820342675,45.4699,85000.0,250.0, Sátão, Viseu, Viseu,15,9.881
25.0,68.63,18.4093297962861,91.95,72214.14285714286,0.0, Tábua, Coimbra, Coimbra,28,9.75
32.9,84.38,18.16460444677329,501.8237,71500.0,275.0, Ponte de Sor, Tramaga e Vale de Açor, Portalegre,35,9.671
30.9,94.4,17.98879895661514,289.81109999999995,57858.333333333336,700.0, Benavente, Santarém, Santarém,111,9.691
20.9,67.88,17.978964495322217,64.6646,174842.85714285713,0.0, Cuba, Beja, Beja,55,9.791
18.8,89.3,17.78447626224567,8.8736,322831.7777777777,1300.0, Odivelas, Lisboa, Lisboa,261,9.812000000000001
25.4,66.28,17.64871722582464,47.7012,61950.0,0.0, Povoação, Ilha de São Miguel, Ilha de São Miguel,36,9.746
31.3,67.94,17.52233009708738,70.61280000000001,208750.0,0.0, Pedrógão Grande, Leiria, Leiria,33,9.687000000000001
26.6,83.0,17.312128202015295,303.4528,54000.0,400.0, Mirandela, Bragança, Bragança,58,9.734
25.4,62.06,16.192973256423702,117.65279999999998,270000.0,0.0, Mêda, Outeiro de Gatos e Fonte Longa, Guarda,3,9.746
19.9,68.81,16.043302165108255,127.6983,56125.0,0.0, Mação, Penhascoso e Aboboreira, Santarém,21,9.801
41.4,76.86,15.69126253565862,441.7794,170166.66666666666,562.5, Silves, Faro, Faro,185,9.586
32.4,76.77,15.572903595884272,562.95,159441.125,350.0, Coruche, Fajarda e Erra, Santarém,46,9.676
22.8,89.44,14.60344827586207,154.49280000000002,60000.0,100.0, Reguengos de Monsaraz, Évora, Évora,93,9.772
22.3,71.85,14.232361776406592,117.2757,95000.0,500.0, Redondo, Évora, Évora,25,9.777000000000001
22.8,66.24,13.53693552597233,59.1204,89000.0,500.0, Vila de Rei, Castelo Branco, Castelo Branco,25,9.772
24.2,72.56,13.473462717972824,145.6598,158000.0,390.0, Sertã, Castelo Branco, Castelo Branco,61,9.758
26.2,66.29,12.924489703141338,74.4866,78333.33333333333,0.0, Moimenta da Beira, Viseu, Viseu,7,9.738
14.9,63.32,12.888092801091778,22.513900000000003,160000.0,0.0, Armamar, Viseu, Viseu,3,9.851
19.7,56.87,12.8672322286765,60.6563,46400.0,3250.0, Cinfães, Viseu, Viseu,11,9.802999999999999
17.6,67.78,12.15463809223658,40.7264,165000.0,350.0, Ferreira do Zêzere, Santarém, Santarém,27,9.824
17.2,64.77,12.040945546644153,78.5008,47750.0,200.0, Castro Daire, Viseu, Viseu,10,9.828
16.8,83.05,11.91987059848202,16.0944,44100.0,0.0, Constância, Santarém, Santarém,23,9.832
24.8,71.82,11.534675311449812,84.27040000000001,162500.0,650.0, Gavião, Vila Nova de Famalicão, Braga,34,9.752
23.6,68.2,11.5070304049994,90.388,49814.28571428572,300.0, Arganil, Coimbra, Coimbra,55,9.764
11.1,55.32,11.482145525175556,17.0607,45000.0,0.0, Tabuaço, Viseu, Viseu,3,9.889
23.9,62.47,11.441805459741795,27.7479,82950.0,0.0, Nordeste, Ilha de São Miguel, Ilha de São Miguel,7,9.761000000000001
24.4,66.51,11.228813559322036,43.9688,109500.0,0.0, Alvaiázere, Leiria, Leiria,26,9.756
21.9,70.03,11.093941149958148,37.7337,195000.0,0.0, Lajes do Pico, Ilha do Pico, Ilha do Pico,4,9.781
28.5,61.85,11.07007336200354,124.716,130625.0,0.0, Monchique, Faro, Faro,18,9.715
25.6,67.24,10.963777490297542,60.7488,250000.0,0.0, Vieira do Minho, Braga, Braga,12,9.744
18.6,67.93,10.91697889962532,154.45440000000002,129200.0,0.0, Mogadouro, Valverde, Bragança,8,9.814
33.9,71.74,10.886185347693129,111.0225,193502.9411764706,300.0, Castro Marim, Faro, Faro,177,9.661
19.2,58.81,10.87866108786611,27.456,23750.0,0.0, Fornos de Algodres, Guarda, Guarda,8,9.808
56.6,63.08,10.683153013910356,195.6096,421100.0,0.0, Aljezur, Faro, Faro,39,9.434
24.1,61.17,10.37651159106511,47.3565,84000.0,200.0, Murça, Vila Real, Vila Real,2,9.759
21.8,77.12,10.082369713290037,27.7514,343875.0,600.0, Calheta, Calheta (Madeira), Ilha da Madeira,17,9.782
41.8,81.51,8.96319190783928,53.3368,60000.0,0.0, São Roque do Pico, Ilha do Pico, Ilha do Pico,7,9.582
23.2,73.49,8.780787825042195,142.42479999999998,115000.0,250.0, Macedo de Cavaleiros, Bragança, Bragança,47,9.767999999999999
46.2,63.35,8.520365752285953,66.297,31000.0,0.0, Barrancos, Beja, Beja,10,9.538
30.5,72.81,8.401503426929029,81.13,137375.0,0.0, Vidigueira, Beja, Beja,41,9.695
23.3,74.78,8.022840827980014,13.0946,36400.0,0.0, Lajes das Flores, Ilha das Flores, Ilha das Flores,9,9.767000000000001
33.9,68.01,7.788521913851564,105.1239,30000.0,0.0, Vila Nova de Foz Côa, Guarda, Guarda,8,9.661
20.6,61.93,7.239357634463421,23.4016,200000.0,0.0, Sabrosa, Vila Real, Vila Real,1,9.794
22.5,63.51,7.147596494840643,70.29,90000.0,450.0, Vila Pouca de Aguiar, Vila Real, Vila Real,11,9.775
21.7,63.97,7.11355867831371,40.6441,117500.0,375.0, Góis, Coimbra, Coimbra,16,9.783
17.7,79.03,6.818181818181818,30.0015,49000.0,0.0, Fronteira, Portalegre, Portalegre,8,9.823
29.9,62.82,6.804672665731033,98.5803,218900.0,0.0, Pinhel, Guarda, Guarda,16,9.701
22.7,79.25,6.431782965427896,57.4764,528000.0,250.0, Viana do Alentejo, Évora, Évora,24,9.773
23.3,89.69,6.42221058145626,14.2829,172575.0,390.0, Seixal, Arrentela e Aldeia de Paio Pires, Setúbal,647,9.767000000000001
23.6,69.02,6.372619218101103,42.008,40500.0,700.0, Sousel, Portalegre, Portalegre,8,9.764
24.1,62.99,6.10943990832259,41.1146,115000.0,0.0, Carrazeda de Ansiães, Bragança, Bragança,1,9.759
20.9,66.03,6.016462183568877,40.48329999999999,249500.0,0.0, Alfândega da Fé, Alfandega da Fé, Bragança,8,9.791
23.6,72.91,5.581793575827879,47.695600000000006,58833.333333333336,0.0, Alter do Chão, Portalegre, Portalegre,22,9.764
36.2,69.93,5.541398987905107,55.8928,140000.0,0.0, Mourão, Évora, Évora,10,9.638
